SalesID,DateID,CustomerID,ProductID,Quantity,UnitPrice,TotalAmount
1,20250423,10,1,1,80000,80000
2,20250314,9,4,1,20000,20000
3,20250218,10,6,1,22000,22000
4,20250430,5,5,1,4000,4000
5,20250119,9,2,3,1500,4500
6,20250218,7,3,1,3000,3000
7,20250205,6,6,2,22000,44000
8,20250113,1,1,1,80000,80000
9,20250401,1,3,1,3000,3000
10,20250514,10,1,1,80000,80000
11,20250513,6,4,2,20000,40000
12,20250503,7,2,1,1500,1500
13,20250308,1,1,2,80000,160000
14,20250628,10,2,2,1500,3000
15,20250418,8,1,1,80000,80000
16,20250217,1,2,1,1500,1500
17,20250209,8,6,1,22000,22000
18,20250220,6,1,1,80000,80000
19,20250525,1,2,2,1500,3000
20,20250128,4,2,2,1500,3000
21,20250328,2,1,1,80000,80000
22,20250102,10,2,1,1500,1500
23,20250112,2,2,2,1500,3000
24,20250614,7,6,1,22000,22000
25,20250130,7,6,2,22000,44000
26,20250208,2,5,1,4000,4000
27,20250322,9,2,1,1500,1500
28,20250315,10,1,1,80000,80000
29,20250211,5,5,2,4000,8000
30,20250102,1,1,2,80000,160000
31,20250501,2,5,1,4000,4000
32,20250108,6,1,1,80000,80000
33,20250405,1,1,1,80000,80000
34,20250412,8,4,1,20000,20000
35,20250201,4,3,3,3000,9000
36,20250115,1,2,1,1500,1500
37,20250412,7,4,1,20000,20000
38,20250219,2,6,1,22000,22000
39,20250520,5,4,1,20000,20000
40,20250520,4,4,1,20000,20000
41,20250213,1,3,1,3000,3000
42,20250114,2,3,1,3000,3000
43,20250317,8,3,1,3000,3000
44,20250329,2,4,1,20000,20000
45,20250504,3,3,1,3000,3000
46,20250519,8,2,1,1500,1500
47,20250118,8,5,1,4000,4000
48,20250122,2,6,1,22000,22000
49,20250428,10,4,1,20000,20000
50,20250527,8,2,1,1500,1500
51,20250126,4,4,1,20000,20000
52,20250604,7,1,1,80000,80000
53,20250327,3,2,1,1500,1500
54,20250317,7,1,1,80000,80000
55,20250313,6,2,1,1500,1500
56,20250104,3,6,2,22000,44000
57,20250615,9,1,1,80000,80000
58,20250606,7,5,1,4000,4000
59,20250102,10,2,2,1500,3000
60,20250131,8,6,2,22000,44000
61,20250408,7,4,1,20000,20000
62,20250223,2,5,1,4000,4000
63,20250130,8,5,1,4000,4000
64,20250228,10,3,1,3000,3000
65,20250318,8,6,1,22000,22000
66,20250202,6,6,1,22000,22000
67,20250419,7,2,3,1500,4500
68,20250613,4,3,2,3000,6000
69,20250125,5,3,1,3000,3000
70,20250502,9,6,1,22000,22000
71,20250323,10,6,1,22000,22000
72,20250425,3,4,1,20000,20000
73,20250201,7,6,1,22000,22000
74,20250422,4,1,1,80000,80000
75,20250322,5,1,2,80000,160000
76,20250127,8,3,1,3000,3000
77,20250519,8,4,2,20000,40000
78,20250403,2,2,1,1500,1500
79,20250607,10,6,1,22000,22000
80,20250509,1,3,1,3000,3000
81,20250206,10,5,3,4000,12000
82,20250421,10,6,2,22000,44000
83,20250410,6,4,1,20000,20000
84,20250617,8,2,3,1500,4500
85,20250106,5,1,1,80000,80000
86,20250325,8,3,1,3000,3000
87,20250604,1,6,1,22000,22000
88,20250203,1,1,1,80000,80000
89,20250418,5,5,1,4000,4000
90,20250329,7,4,1,20000,20000
91,20250608,9,5,1,4000,4000
92,20250515,6,4,2,20000,40000
93,20250103,6,2,2,1500,3000
94,20250211,4,4,2,20000,40000
95,20250103,6,3,1,3000,3000
96,20250104,5,4,1,20000,20000
97,20250122,9,1,2,80000,160000
98,20250130,3,2,2,1500,3000
99,20250308,10,6,1,22000,22000
100,20250302,5,3,1,3000,3000
101,20250618,6,2,1,1500,1500
102,20250418,1,6,1,22000,22000
103,20250312,9,3,1,3000,3000
104,20250324,10,1,1,80000,80000
105,20250611,8,6,1,22000,22000
106,20250204,6,2,2,1500,3000
107,20250428,9,5,2,4000,8000
108,20250223,10,4,2,20000,40000
109,20250110,5,4,2,20000,40000
110,20250413,6,5,1,4000,4000
111,20250518,5,6,1,22000,22000
112,20250416,7,5,1,4000,4000
113,20250508,9,3,3,3000,9000
114,20250207,1,6,3,22000,66000
115,20250203,10,4,1,20000,20000
116,20250629,9,5,1,4000,4000
117,20250328,2,5,1,4000,4000
118,20250318,4,5,2,4000,8000
119,20250205,8,5,1,4000,4000
120,20250202,7,5,1,4000,4000
121,20250128,10,4,1,20000,20000
122,20250424,10,4,1,20000,20000
123,20250427,10,3,3,3000,9000
124,20250108,2,2,2,1500,3000
125,20250520,7,1,1,80000,80000
126,20250520,10,3,3,3000,9000
127,20250419,4,2,1,1500,1500
128,20250213,6,1,1,80000,80000
129,20250623,8,2,2,1500,3000
130,20250527,1,3,1,3000,3000
131,20250325,1,3,2,3000,6000
132,20250613,5,1,2,80000,160000
133,20250119,8,6,1,22000,22000
134,20250628,6,3,1,3000,3000
135,20250521,3,5,1,4000,4000
136,20250116,1,4,1,20000,20000
137,20250618,1,2,1,1500,1500
138,20250114,2,6,1,22000,22000
139,20250628,3,1,1,80000,80000
140,20250429,10,4,2,20000,40000
141,20250113,1,6,1,22000,22000
142,20250420,9,6,1,22000,22000
143,20250121,10,5,2,4000,8000
144,20250208,1,3,1,3000,3000
145,20250511,7,1,1,80000,80000
146,20250203,9,1,1,80000,80000
147,20250601,10,2,1,1500,1500
148,20250618,6,5,1,4000,4000
149,20250604,2,2,1,1500,1500
150,20250427,9,5,1,4000,4000
